RW_Turbidity,pH,Conductivity,PAC
,,,
21.2,7.1,63.2,8
74,7.4,66.4,8
38.5,6.7,84.1,8
7.9,6.9,64.3,4
11.1,6.9,45.5,4
21.1,6.7,72.1,4
13.7,6.7,43.2,6
22,6.8,62.1,6
28.9,6.66,85.6,7
47.2,6.6,69.1,7
10,6.8,81,4
9.8,7,71.2,4
29.3,7,70.8,7
12.5,7.2,60.1,6
10.2,6.99,61.4,4
6.29,6.8,72,4
6.5,7.3,76.2,4
5.8,7.2,81.1,4
7.12,6.8,79.8,4
23.5,7.3,61.1,4
7.94,7.34,78.5,4
9.73,7.17,87.1,4
6.6,7.1,84.2,4
2.2,6.7,91.1,4
2.84,6.8,96.2,4
2.8,6.7,88.1,4
4.7,6.8,84.2,4
4.3,6.8,89.1,4
4.5,6.8,84.2,4
,,,
3.2,7.4,94,5
3.14,7.2,88.8,5
3.6,7.2,108.3,5
3.66,7.4,93.6,5
3.6,7.1,92.1,5
3.25,7.1,93.1,5
6.47,7.4,95.1,5
4.3,7.3,94.6,5
9.4,7.3,95.9,5
2.34,7.4,81.4,5
10.08,7.4,94.1,5
4.6,7.3,107,5
3,7.5,120,5
3.28,7.4,107,5
2.8,7.4,98.6,5
2.8,7.2,92.1,5
33.7,7,100,6
4.51,7.43,108.4,5
7.4,7.1,111.3,5
4.27,7.13,110,5
3.4,7.3,96.6,5
3.7,7.2,76,5
3.6,7.1,58.3,5
2.74,7.3,104.1,5
3.52,7.48,100,4
3,7.2,97,5
2.8,7.3,98,5
3.85,7.3,106.2,6
22,7.3,108,7
,,,
2.89,7.56,78.3,5
3.31,7.3,76.8,4
2.4,7.3,81.7,5
3.12,7.3,80.1,4
2.1,7.2,80.7,4
2.4,6.9,84.2,5
2.95,7.16,84.2,4
2.2,7.2,82.6,5
3.3,7,83.9,5
2.42,7.18,85.2,5
3.29,6.92,86.8,5
5.2,7,80.1,5
3.4,6.9,82,5
3.1,7.1,79.2,5
3.3,7.2,83.6,5
3.83,6.95,84.5,4
3.33,7.3,93.9,5
3.24,7.4,90.6,4
3.77,7.5,94.3,5
3.25,7.31,91.3,5
3.3,7.4,90.9,4
5.3,7.4,91,5
3.2,7.4,100.8,6
3.2,7.3,92.6,6
3.5,7.4,94,5
3.2,7,82.6,5
3.6,7.1,82.3,5
3.33,7.4,99.3,5
,,,
8.61,7.3,110.4,5
36.2,7.39,106.9,7
52.3,7.2,101.4,6
98.6,7.4,98.6,10
11,6.8,93.6,7
252,7.1,104,12
252,7.3,103.2,12
35.2,7.4,85.5,12
33.1,7.34,86.5,10
13.2,7.1,84.3,10
9.21,7.1,86.4,10
16.4,7.24,86.3,10
35.4,7.3,74.1,10
24,7.1,56.3,10
17.6,7.2,81.6,8
9.56,7.2,102.3,8
8.7,7.2,97,6
7.33,6.93,111.11,7
10.6,7.1,111.2,7
25.6,7,108.2,8
98,7.1,111.2,10
35.3,7.3,83.2,10
17.6,7,88.4,10
23.7,6.9,84,8
14.17,6.92,96.4,8
14,7.1,90,6
45.2,6.9,95.3,8
12.05,7.1,100.7,8
19.2,6.79,86.8,7
10.6,6.8,87.1,7
,,,
19.2,6.7,86.8,8
10.6,6.8,87.1,7
17.1,6.8,98,7
12.4,6.75,89.2,7
15.3,6.8,90.1,6
23.4,6.9,81.9,6
12.33,6.81,83.2,6
11.39,6.8,84.2,6
10,7.1,88.1,6
12.32,7.1,89.72,6
66.5,6.8,101.2,10
40,6.9,56.2,2
34.9,6.86,53.8,5
22.9,7,57.2,6
19.8,7,58.3,6
14.5,6.93,61.2,6
16.4,6.9,56.4,6
11.5,7,59.2,6
11.21,7.1,60.3,6
9.02,7.09,63.2,6
8.8,6.9,66.4,5
7.21,6.99,60.3,5
9.7,6.91,68.8,5
11.2,7.2,58.9,5
17.1,7.07,68.2,5
17.7,7.1,67.1,6
15.3,7.1,62.3,6
37.3,7.3,51.8,6
14.9,7,61.3,6
,,,
37.3,7.3,51.8,6
14.9,7,61.3,6
14.3,7.1,61.2,6
9.93,7.2,55.3,6
9.74,7.24,65.2,6
10.1,7.1,67.1,6
9.1,7.13,62.3,6
7.5,7.1,64.1,6
8.6,7,69.7,6
8.7,6.93,48.2,6
7.88,7.13,67.8,6
7.1,7,68.9,6
5.8,7.2,72.4,6
15.1,6.98,71.4,6
7,7.2,68.2,6
6.7,6.9,61.7,6
7.2,6.98,65.3,6
5.21,6.97,75,4
4.69,6.9,73.8,4
5.4,7.02,71,4
6.52,6.82,75.7,5
4.5,7,77.4,4
4.9,7.1,72.3,4
10.21,6.89,64.3,4
6.56,7.03,73.4,5
4.6,7,76.2,5
5.44,7,78.3,5
5.99,7.1,79.5,5
4.2,6.9,79.5,5
,,,
5.4,7,86.9,5
5.25,6.97,64.2,5
7.21,7.03,75.1,5
62.1,7,57.7,10
19.5,6.67,57.2,8
13.7,6.69,63.3,6
7.7,6.71,62.4,5
8,7,65,5
5.4,7.1,67.1,5
6.58,6.88,67.8,5
8.46,6.8,65.7,5
19.5,6.8,62.4,5
10.13,6.71,66,5
9.54,6.61,63,5
8.5,6.8,34,5
8.7,6.87,38.3,5
6.01,6.91,33.8,5
4.81,6.8,34.1,5
13.2,6.8,32.6,5
101,6.99,38,10
21.5,6.8,35.2,7
21.2,6.7,33.2,8
12.2,6.66,31.7,8
8.8,6.8,34.5,8
23,6.8,38.6,7
47.5,6.79,37.2,8
172,6.7,33,11
